,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index
0,AvgTrueRange,NATR,TRANGE,Fake_news,,Fake_news,,Fake_news,,,,,,B5_N_Dm,,B5_N_Dm,,B5_N_Dm,Fake_news,,B5_N_Dm,Verified_status_True,Verified_status_False
1,NATR,AvgTrueRange,Volume,N,,N,,N,,,,,,B5_E_Dm,,B5_E_Dm,,B5_E_Dm,N,,B5_E_Dm,Fake_news,Fake_news
2,vol_future,vol_current,AvgTrueRange,E,,E,,E,,,,,,B5_O_Dm,,B5_O_Dm,,B5_O_Dm,E,,B5_O_Dm,N,N
3,TRANGE,vol_future,Verified_status_False,O,,O,,O,,,,,,Downward_momentum_created,,Downward_momentum_created,,Downward_momentum_created,O,,Downward_momentum_created,E,E
4,vol_current,Volume,Fake_news,Verified_status_False,,Verified_status_False,,Verified_status_False,,,,,,Verified_status_True,,Verified_status_True,,Verified_status_True,Verified_status_False,,Verified_status_True,O,O
5,Variance,TRANGE,N,Verified_status_True,,Verified_status_True,,Verified_status_True,,,,,,Fake_news,,Fake_news,,Fake_news,Verified_status_True,,Fake_news,Verified_status_False,Verified_status_True
6,Volume,TRIX,E,Volume,,Volume,,Volume,,,,,,N,,N,,N,Volume,,N,B5_N_Dm,Volume
7,,Variance,O,TRANGE,,TRANGE,,TRANGE,,,,,,E,,E,,E,TRANGE,,E,B5_E_Dm,TRANGE
8,,,NATR,B5_N_Dm,,B5_N_Dm,,B5_N_Dm,,,,,,O,,O,,O,B5_N_Dm,,O,B5_O_Dm,B5_N_Dm
9,,,,B5_E_Dm,,B5_E_Dm,,B5_E_Dm,,,,,,Verified_status_False,,Verified_status_False,,Verified_status_False,B5_E_Dm,,Verified_status_False,Downward_momentum_created,B5_E_Dm
10,,,,B5_O_Dm,,B5_O_Dm,,B5_O_Dm,,,,,,,,,,,B5_O_Dm,,,,B5_O_Dm
11,,,,Downward_momentum_created,,Downward_momentum_created,,Downward_momentum_created,,,,,,,,,,,Downward_momentum_created,,,,Downward_momentum_created
