,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index
0,AvgTrueRange,NATR,TRANGE,N,N,N,N,N,,,,,,B5_N_Dm,B5_N_Dm,B5_N_Dm,B5_N_Dm,B5_N_Dm,,,B5_N_Dm,Verified_status_True,Verified_status_False
1,Upperband,vol_future,AvgTrueRange,A,A,A,A,A,,,,,,B5_A_Dm,B5_A_Dm,B5_A_Dm,B5_A_Dm,B5_A_Dm,,,B5_A_Dm,Volume,N
2,High,vol_current,B5_A_Dm,E,E,E,E,E,,,,,,B5_E_Dm,B5_E_Dm,B5_E_Dm,B5_E_Dm,B5_E_Dm,,,B5_E_Dm,B5_N_Dm,A
3,Open,,B5_E_Dm,C,C,C,C,C,,,,,,B5_C_Dm,B5_C_Dm,B5_C_Dm,B5_C_Dm,B5_C_Dm,,,B5_C_Dm,B5_A_Dm,E
4,Middleband,,Downward_momentum_created,O,O,O,O,O,,,,,,B5_O_Dm,B5_O_Dm,B5_O_Dm,B5_O_Dm,B5_O_Dm,,,B5_O_Dm,B5_E_Dm,C
5,Adj Close,,B5_O_Dm,Verified_status_False,Verified_status_False,Verified_status_False,Verified_status_False,Verified_status_False,,,,,,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,,,Downward_momentum_created,B5_C_Dm,O
6,Close,,B5_C_Dm,B5_N_Dm,B5_N_Dm,B5_N_Dm,B5_N_Dm,B5_N_Dm,,,,,,N,N,N,N,N,,,N,B5_O_Dm,B5_N_Dm
7,Low,,B5_N_Dm,B5_A_Dm,B5_A_Dm,B5_A_Dm,B5_A_Dm,B5_A_Dm,,,,,,A,A,A,A,A,,,A,Downward_momentum_created,B5_A_Dm
8,TRANGE,,N,B5_E_Dm,B5_E_Dm,B5_E_Dm,B5_E_Dm,B5_E_Dm,,,,,,E,E,E,E,E,,,E,N,B5_E_Dm
9,Lowerband,,A,B5_C_Dm,B5_C_Dm,B5_C_Dm,B5_C_Dm,B5_C_Dm,,,,,,C,C,C,C,C,,,C,A,B5_C_Dm
10,Variance,,O,B5_O_Dm,B5_O_Dm,B5_O_Dm,B5_O_Dm,B5_O_Dm,,,,,,O,O,O,O,O,,,O,E,B5_O_Dm
11,,,C,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,,,,,,Volume,Volume,Volume,Volume,Volume,,,Volume,C,Downward_momentum_created
12,,,E,Volume,Volume,Volume,Volume,Volume,,,,,,Verified_status_False,Verified_status_False,Verified_status_False,Verified_status_False,Verified_status_False,,,Verified_status_False,O,Volume
13,,,Verified_status_False,Verified_status_True,Verified_status_True,Verified_status_True,Verified_status_True,Verified_status_True,,,,,,Verified_status_True,Verified_status_True,Verified_status_True,Verified_status_True,Verified_status_True,,,Verified_status_True,Verified_status_False,Verified_status_True
14,,,Volume,TRANGE,TRANGE,TRANGE,TRANGE,TRANGE,,,,,,TRANGE,TRANGE,TRANGE,TRANGE,TRANGE,,,TRANGE,TRANGE,TRANGE
15,,,Verified_status_True,,,,,,,,,,,,,,,,,,,,
16,,,High,,,,,,,,,,,,,,,,,,,,
