,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index
0,AvgTrueRange,NATR,TRANGE,Fake_news,Fake_news,Fake_news,Fake_news,,,,,,,B5_A_Dm,B5_A_Dm,B5_A_Dm,B5_A_Dm,,Fake_news,,B5_A_Dm,Verified_status_True,Verified_status_False
1,NATR,AvgTrueRange,AvgTrueRange,A,A,A,A,,,,,,,B5_E_Dm,B5_E_Dm,B5_E_Dm,B5_E_Dm,,A,,B5_E_Dm,Fake_news,Fake_news
2,Upperband,vol_future,,E,E,E,E,,,,,,,B5_C_Dm,B5_C_Dm,B5_C_Dm,B5_C_Dm,,E,,B5_C_Dm,A,A
3,vol_future,vol_current,,C,C,C,C,,,,,,,B5_O_Dm,B5_O_Dm,B5_O_Dm,B5_O_Dm,,C,,B5_O_Dm,E,E
4,TRANGE,,,O,O,O,O,,,,,,,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,,O,,Downward_momentum_created,C,C
5,High,,,Verified_status_False,Verified_status_False,Verified_status_False,Verified_status_False,,,,,,,Fake_news,Fake_news,Fake_news,Fake_news,,Verified_status_False,,Fake_news,O,O
6,vol_current,,,Volume,Volume,Volume,Volume,,,,,,,A,A,A,A,,Volume,,A,Verified_status_False,Volume
7,Open,,,B5_A_Dm,B5_A_Dm,B5_A_Dm,B5_A_Dm,,,,,,,E,E,E,E,,B5_A_Dm,,E,Volume,B5_A_Dm
8,Middleband,,,B5_E_Dm,B5_E_Dm,B5_E_Dm,B5_E_Dm,,,,,,,C,C,C,C,,B5_E_Dm,,C,B5_A_Dm,B5_E_Dm
9,Adj Close,,,B5_C_Dm,B5_C_Dm,B5_C_Dm,B5_C_Dm,,,,,,,O,O,O,O,,B5_C_Dm,,O,B5_E_Dm,B5_C_Dm
10,Close,,,B5_O_Dm,B5_O_Dm,B5_O_Dm,B5_O_Dm,,,,,,,Verified_status_False,Verified_status_False,Verified_status_False,Verified_status_False,,B5_O_Dm,,Verified_status_False,B5_C_Dm,B5_O_Dm
11,TRIX,,,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,,,,,,,Volume,Volume,Volume,Volume,,Downward_momentum_created,,Volume,B5_O_Dm,Downward_momentum_created
12,Variance,,,OBV,OBV,OBV,OBV,,,,,,,Verified_status_True,Verified_status_True,Verified_status_True,Verified_status_True,,OBV,,Verified_status_True,Downward_momentum_created,OBV
13,Low,,,Verified_status_True,Verified_status_True,Verified_status_True,Verified_status_True,,,,,,,OBV,OBV,OBV,OBV,,Verified_status_True,,OBV,OBV,Verified_status_True
14,,,,AD,AD,AD,AD,,,,,,,AD,AD,AD,AD,,AD,,AD,ADOSC,AD
15,,,,ADOSC,ADOSC,ADOSC,ADOSC,,,,,,,ADOSC,ADOSC,ADOSC,ADOSC,,ADOSC,,ADOSC,,ADOSC
