,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index
0,AvgTrueRange,NATR,TRANGE,Fake_news,,Fake_news,,Fake_news,,,,,,B5_N_Dm,,B5_N_Dm,,B5_N_Dm,Fake_news,,B5_N_Dm,Verified_status_True,Verified_status_False
1,NATR,TRIX,Fake_news,N,,N,,N,,,,,,B5_E_Dm,,B5_E_Dm,,B5_E_Dm,N,,B5_E_Dm,B5_N_Dm,Fake_news
2,MACD,AvgTrueRange,E,E,,E,,E,,,,,,B5_O_Dm,,B5_O_Dm,,B5_O_Dm,E,,B5_O_Dm,B5_E_Dm,N
3,MACDSIGNAL,Volume,O,O,,O,,O,,,,,,Downward_momentum_created,,Downward_momentum_created,,Downward_momentum_created,O,,Downward_momentum_created,B5_O_Dm,E
4,TRIX,MACDSIGNAL,N,Verified_status_False,,Verified_status_False,,Verified_status_False,,,,,,Verified_status_True,,Verified_status_True,,Verified_status_True,Verified_status_False,,Verified_status_True,Downward_momentum_created,O
5,Variance,TRANGE,Verified_status_False,B5_N_Dm,,B5_N_Dm,,B5_N_Dm,,,,,,Fake_news,,Fake_news,,Fake_news,B5_N_Dm,,Fake_news,Fake_news,B5_N_Dm
6,TRANGE,MACD,Verified_status_True,B5_E_Dm,,B5_E_Dm,,B5_E_Dm,,,,,,N,,N,,N,B5_E_Dm,,N,N,B5_E_Dm
7,APO,Variance,B5_O_Dm,B5_O_Dm,,B5_O_Dm,,B5_O_Dm,,,,,,E,,E,,E,B5_O_Dm,,E,E,B5_O_Dm
8,PPO,B5_N_Dm,Downward_momentum_created,Downward_momentum_created,,Downward_momentum_created,,Downward_momentum_created,,,,,,O,,O,,O,Downward_momentum_created,,O,O,Downward_momentum_created
9,AD,B5_E_Dm,B5_E_Dm,Verified_status_True,,Verified_status_True,,Verified_status_True,,,,,,Verified_status_False,,Verified_status_False,,Verified_status_False,Verified_status_True,,Verified_status_False,Verified_status_False,Verified_status_True
10,Volume,B5_O_Dm,B5_N_Dm,Volume,,Volume,,Volume,,,,,,Volume,,Volume,,Volume,Volume,,Volume,Volume,Volume
11,Upperband,Downward_momentum_created,Volume,TRANGE,,TRANGE,,TRANGE,,,,,,TRANGE,,TRANGE,,TRANGE,TRANGE,,TRANGE,TRANGE,TRANGE
12,N,Fake_news,Variance,NATR,,NATR,,NATR,,,,,,NATR,,NATR,,NATR,NATR,,NATR,NATR,NATR
13,O,N,AvgTrueRange,Variance,,Variance,,Variance,,,,,,AvgTrueRange,,AvgTrueRange,,AvgTrueRange,Variance,,AvgTrueRange,AvgTrueRange,Variance
14,E,O,NATR,AvgTrueRange,,AvgTrueRange,,AvgTrueRange,,,,,,,,,,,AvgTrueRange,,,Variance,AvgTrueRange
15,Fake_news,E,MACD,ROCP,,ROCP,,ROCP,,,,,,,,,,,ROCP,,,,ROCP
16,Verified_status_False,Verified_status_False,High,,,,,,,,,,,,,,,,,,,,
17,Verified_status_True,Verified_status_True,AD,,,,,,,,,,,,,,,,,,,,
18,Downward_momentum_created,Lowerband,,,,,,,,,,,,,,,,,,,,,
19,B5_O_Dm,ADOSC,,,,,,,,,,,,,,,,,,,,,
20,B5_E_Dm,,,,,,,,,,,,,,,,,,,,,,
21,B5_N_Dm,,,,,,,,,,,,,,,,,,,,,,
