,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index
0,AvgTrueRange,NATR,TRANGE,Fake_news,,,,,,,,,,B5_O_Dm,,,,,Fake_news,,B5_O_Dm,Verified_status_True,Verified_status_False
1,NATR,vol_future,AvgTrueRange,O,,,,,,,,,,Downward_momentum_created,,,,,O,,Downward_momentum_created,Fake_news,Fake_news
2,TRANGE,AvgTrueRange,NATR,Verified_status_False,,,,,,,,,,Verified_status_True,,,,,Verified_status_False,,Verified_status_True,O,O
3,vol_future,vol_current,Variance,Verified_status_True,,,,,,,,,,Fake_news,,,,,Verified_status_True,,Fake_news,B5_O_Dm,Verified_status_True
4,vol_current,Variance,vol_future,B5_O_Dm,,,,,,,,,,O,,,,,B5_O_Dm,,O,Downward_momentum_created,B5_O_Dm
5,Upperband,TRANGE,Upperband,Downward_momentum_created,,,,,,,,,,Verified_status_False,,,,,Downward_momentum_created,,Verified_status_False,Verified_status_False,Downward_momentum_created
6,Variance,MACD,vol_current,,,,,,,,,,,,,,,,,,,,
7,Adj Close,,Middleband,,,,,,,,,,,,,,,,,,,,
8,High,,High,,,,,,,,,,,,,,,,,,,,
9,Middleband,,Adj Close,,,,,,,,,,,,,,,,,,,,
10,Close,,,,,,,,,,,,,,,,,,,,,,
11,Open,,,,,,,,,,,,,,,,,,,,,,
12,Low,,,,,,,,,,,,,,,,,,,,,,
13,Lowerband,,,,,,,,,,,,,,,,,,,,,,
14,OBV,,,,,,,,,,,,,,,,,,,,,,
