,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index
0,AvgTrueRange,NATR,TRANGE,,Fake_news,,,Fake_news,,,,,,,B5_N_Dm,,,B5_N_Dm,Fake_news,,B5_N_Dm,Verified_status_True,Verified_status_False
1,NATR,AvgTrueRange,Verified_status_False,,N,,,N,,,,,,,B5_C_Dm,,,B5_C_Dm,N,,B5_C_Dm,Fake_news,Fake_news
2,Upperband,Upperband,Fake_news,,C,,,C,,,,,,,Downward_momentum_created,,,Downward_momentum_created,C,,Downward_momentum_created,N,N
3,vol_current,vol_current,N,,Verified_status_False,,,Verified_status_False,,,,,,,Verified_status_True,,,Verified_status_True,Verified_status_False,,Verified_status_True,C,C
4,High,High,C,,Volume,,,Volume,,,,,,,Fake_news,,,Fake_news,Volume,,Fake_news,Verified_status_False,Volume
5,Open,Open,Volume,,Verified_status_True,,,Verified_status_True,,,,,,,N,,,N,Verified_status_True,,N,B5_N_Dm,Verified_status_True
6,Close,Middleband,AvgTrueRange,,TRANGE,,,TRANGE,,,,,,,C,,,C,TRANGE,,C,B5_C_Dm,TRANGE
7,Middleband,TRANGE,NATR,,B5_N_Dm,,,B5_N_Dm,,,,,,,Verified_status_False,,,Verified_status_False,B5_N_Dm,,Verified_status_False,Downward_momentum_created,B5_N_Dm
8,Low,Close,High,,B5_C_Dm,,,B5_C_Dm,,,,,,,Volume,,,Volume,B5_C_Dm,,Volume,Volume,B5_C_Dm
9,Adj Close,Low,Close,,Downward_momentum_created,,,Downward_momentum_created,,,,,,,TRANGE,,,TRANGE,Downward_momentum_created,,TRANGE,TRANGE,Downward_momentum_created
10,Lowerband,Adj Close,Open,,NATR,,,NATR,,,,,,,,,,,NATR,,,,NATR
11,TRANGE,MACDSIGNAL,Adj Close,,AvgTrueRange,,,AvgTrueRange,,,,,,,,,,,AvgTrueRange,,,,AvgTrueRange
12,MACDSIGNAL,Verified_status_False,Upperband,,AD,,,AD,,,,,,,,,,,AD,,,,AD
13,MACD,Fake_news,Low,,MACD,,,MACD,,,,,,,,,,,MACD,,,,MACD
14,AD,C,vol_current,,High,,,High,,,,,,,,,,,High,,,,High
15,Variance,N,Middleband,,Close,,,Close,,,,,,,,,,,Close,,,,Close
16,Verified_status_False,AD,MACD,,Upperband,,,Upperband,,,,,,,,,,,Upperband,,,,Upperband
17,Fake_news,MACD,AD,,Open,,,Open,,,,,,,,,,,Open,,,,Open
18,C,Lowerband,Lowerband,,APO,,,APO,,,,,,,,,,,APO,,,,APO
19,N,Variance,Variance,,PPO,,,PPO,,,,,,,,,,,PPO,,,,MACDSIGNAL
20,vol_future,APO,Verified_status_True,,MACDSIGNAL,,,MACDSIGNAL,,,,,,,,,,,MACDSIGNAL,,,,PPO
21,APO,vol_future,MACDSIGNAL,,Adj Close,,,Adj Close,,,,,,,,,,,Adj Close,,,,Adj Close
22,PPO,Volume,vol_future,,Low,,,Low,,,,,,,,,,,Low,,,,Low
23,OBV,PPO,APO,,OBV,,,OBV,,,,,,,,,,,OBV,,,,OBV
24,Volume,OBV,Downward_momentum_created,,Variance,,,Variance,,,,,,,,,,,Variance,,,,Variance
25,TRIX,,B5_C_Dm,,MOM,,,MOM,,,,,,,,,,,MOM,,,,MOM
26,,,B5_N_Dm,,,,,,,,,,,,,,,,,,,,
