,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index
0,AvgTrueRange,NATR,TRANGE,Fake_news,,Fake_news,,Fake_news,,,,,,B5_N_Dm,,B5_N_Dm,,B5_N_Dm,Fake_news,,B5_N_Dm,Verified_status_True,Verified_status_False
1,vol_current,AvgTrueRange,AvgTrueRange,N,,N,,N,,,,,,B5_E_Dm,,B5_E_Dm,,B5_E_Dm,N,,B5_E_Dm,Fake_news,Fake_news
2,NATR,vol_current,Volume,E,,E,,E,,,,,,B5_O_Dm,,B5_O_Dm,,B5_O_Dm,E,,B5_O_Dm,N,N
3,Upperband,vol_future,Upperband,O,,O,,O,,,,,,Downward_momentum_created,,Downward_momentum_created,,Downward_momentum_created,O,,Downward_momentum_created,E,E
4,Middleband,TRANGE,High,Verified_status_False,,Verified_status_False,,Verified_status_False,,,,,,Verified_status_True,,Verified_status_True,,Verified_status_True,Verified_status_False,,Verified_status_True,O,O
5,vol_future,Volume,Verified_status_False,Verified_status_True,,Verified_status_True,,Verified_status_True,,,,,,Fake_news,,Fake_news,,Fake_news,Verified_status_True,,Fake_news,Verified_status_False,Verified_status_True
6,AD,SLOWK,Fake_news,B5_N_Dm,,B5_N_Dm,,B5_N_Dm,,,,,,N,,N,,N,B5_N_Dm,,N,B5_N_Dm,B5_N_Dm
7,High,SLOWD,N,B5_E_Dm,,B5_E_Dm,,B5_E_Dm,,,,,,E,,E,,E,B5_E_Dm,,E,B5_E_Dm,B5_E_Dm
8,Open,,E,B5_O_Dm,,B5_O_Dm,,B5_O_Dm,,,,,,O,,O,,O,B5_O_Dm,,O,B5_O_Dm,B5_O_Dm
9,Lowerband,,O,Downward_momentum_created,,Downward_momentum_created,,Downward_momentum_created,,,,,,Verified_status_False,,Verified_status_False,,Verified_status_False,Downward_momentum_created,,Verified_status_False,Downward_momentum_created,Downward_momentum_created
10,Adj Close,,Middleband,Volume,,Volume,,Volume,,,,,,,,,,,Volume,,,Volume,Volume
11,Close,,Open,TRANGE,,TRANGE,,TRANGE,,,,,,,,,,,TRANGE,,,,TRANGE
12,TRANGE,,vol_future,Variance,,Variance,,Variance,,,,,,,,,,,Variance,,,,Variance
13,Low,,Adj Close,DMI,,DMI,,DMI,,,,,,,,,,,DMI,,,,DMI
14,TRIX,,Close,,,,,,,,,,,,,,,,,,,,
15,OBV,,AD,,,,,,,,,,,,,,,,,,,,
16,Variance,,vol_current,,,,,,,,,,,,,,,,,,,,
17,MACDSIGNAL,,Lowerband,,,,,,,,,,,,,,,,,,,,
18,,,Low,,,,,,,,,,,,,,,,,,,,
19,,,Variance,,,,,,,,,,,,,,,,,,,,
20,,,NATR,,,,,,,,,,,,,,,,,,,,
21,,,OBV,,,,,,,,,,,,,,,,,,,,
22,,,TRIX,,,,,,,,,,,,,,,,,,,,
23,,,MACDSIGNAL,,,,,,,,,,,,,,,,,,,,
