,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index
0,AvgTrueRange,NATR,TRANGE,Fake_news,Fake_news,,Fake_news,Fake_news,,,,,,B5_N_Dm,B5_N_Dm,,B5_N_Dm,B5_N_Dm,Fake_news,,B5_N_Dm,Verified_status_True,Verified_status_False
1,NATR,AvgTrueRange,Volume,N,N,,N,N,,,,,,B5_A_Dm,B5_A_Dm,,B5_A_Dm,B5_A_Dm,N,,B5_A_Dm,Fake_news,Fake_news
2,TRIX,Volume,B5_N_Dm,A,A,,A,A,,,,,,B5_C_Dm,B5_C_Dm,,B5_C_Dm,B5_C_Dm,A,,B5_C_Dm,N,N
3,Variance,vol_current,B5_A_Dm,C,C,,C,C,,,,,,B5_O_Dm,B5_O_Dm,,B5_O_Dm,B5_O_Dm,C,,B5_O_Dm,A,A
4,TRANGE,vol_future,B5_C_Dm,O,O,,O,O,,,,,,Downward_momentum_created,Downward_momentum_created,,Downward_momentum_created,Downward_momentum_created,O,,Downward_momentum_created,C,C
5,,High,B5_O_Dm,Verified_status_False,Verified_status_False,,Verified_status_False,Verified_status_False,,,,,,Fake_news,Fake_news,,Fake_news,Fake_news,Verified_status_False,,Fake_news,O,O
6,,Open,Downward_momentum_created,Verified_status_True,Verified_status_True,,Verified_status_True,Verified_status_True,,,,,,N,N,,N,N,Verified_status_True,,N,Verified_status_False,B5_N_Dm
7,,MACD,Verified_status_False,B5_N_Dm,B5_N_Dm,,B5_N_Dm,B5_N_Dm,,,,,,A,A,,A,A,B5_N_Dm,,A,B5_N_Dm,B5_A_Dm
8,,Adj Close,Fake_news,B5_A_Dm,B5_A_Dm,,B5_A_Dm,B5_A_Dm,,,,,,C,C,,C,C,B5_A_Dm,,C,B5_A_Dm,B5_C_Dm
9,,Close,N,B5_C_Dm,B5_C_Dm,,B5_C_Dm,B5_C_Dm,,,,,,O,O,,O,O,B5_C_Dm,,O,B5_C_Dm,B5_O_Dm
10,,Lowerband,A,B5_O_Dm,B5_O_Dm,,B5_O_Dm,B5_O_Dm,,,,,,Verified_status_False,Verified_status_False,,Verified_status_False,Verified_status_False,B5_O_Dm,,Verified_status_False,B5_O_Dm,Downward_momentum_created
11,,RSI,C,Downward_momentum_created,Downward_momentum_created,,Downward_momentum_created,Downward_momentum_created,,,,,,Verified_status_True,Verified_status_True,,Verified_status_True,Verified_status_True,Downward_momentum_created,,Verified_status_True,Downward_momentum_created,Verified_status_True
12,,Low,O,Volume,Volume,,Volume,Volume,,,,,,Volume,Volume,,Volume,Volume,Volume,,Volume,Volume,Volume
13,,MOM,AvgTrueRange,TRANGE,TRANGE,,TRANGE,TRANGE,,,,,,TRANGE,TRANGE,,TRANGE,TRANGE,TRANGE,,TRANGE,,TRANGE
14,,ROCP,,,,,,,,,,,,,,,,,,,,,
15,,ADOSC,,,,,,,,,,,,,,,,,,,,,
16,,AD,,,,,,,,,,,,,,,,,,,,,
