,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index
0,AvgTrueRange,NATR,TRANGE,Fake_news,,Fake_news,,Fake_news,,,,,,B5_N_Dm,,B5_N_Dm,,B5_N_Dm,Fake_news,,B5_N_Dm,Verified_status_True,Verified_status_False
1,Upperband,vol_current,AvgTrueRange,N,,N,,N,,,,,,B5_E_Dm,,B5_E_Dm,,B5_E_Dm,N,,B5_E_Dm,,Fake_news
2,High,vol_future,OBV,E,,E,,E,,,,,,B5_O_Dm,,B5_O_Dm,,B5_O_Dm,E,,B5_O_Dm,,N
3,OBV,TRIX,High,O,,O,,O,,,,,,Downward_momentum_created,,Downward_momentum_created,,Downward_momentum_created,O,,Downward_momentum_created,,E
4,Middleband,AvgTrueRange,Volume,Verified_status_False,,Verified_status_False,,Verified_status_False,,,,,,Fake_news,,Fake_news,,Fake_news,Verified_status_False,,Fake_news,,O
5,Open,OBV,Close,Volume,,Volume,,Volume,,,,,,N,,N,,N,Volume,,N,,Volume
6,Adj Close,TRANGE,Adj Close,B5_E_Dm,,B5_E_Dm,,B5_E_Dm,,,,,,E,,E,,E,B5_E_Dm,,E,,B5_E_Dm
7,Close,MACDSIGNAL,Upperband,B5_O_Dm,,B5_O_Dm,,B5_O_Dm,,,,,,O,,O,,O,B5_O_Dm,,O,,B5_O_Dm
8,Low,,Open,B5_N_Dm,,B5_N_Dm,,B5_N_Dm,,,,,,Verified_status_False,,Verified_status_False,,Verified_status_False,B5_N_Dm,,Verified_status_False,,B5_N_Dm
9,Lowerband,,Low,Downward_momentum_created,,Downward_momentum_created,,Downward_momentum_created,,,,,,Volume,,Volume,,Volume,Downward_momentum_created,,Volume,,Downward_momentum_created
10,AD,,AD,TRANGE,,TRANGE,,TRANGE,,,,,,,,,,,TRANGE,,,,TRANGE
11,TRANGE,,Middleband,RSI,,RSI,,RSI,,,,,,,,,,,RSI,,,,RSI
12,NATR,,Verified_status_False,Variance,,Variance,,Variance,,,,,,,,,,,Variance,,,,Variance
13,Variance,,N,ADOSC,,ADOSC,,ADOSC,,,,,,,,,,,ADOSC,,,,ADOSC
14,MACDSIGNAL,,O,OBV,,OBV,,OBV,,,,,,,,,,,OBV,,,,OBV
15,vol_current,,E,ROCP,,ROCP,,ROCP,,,,,,,,,,,ROCP,,,,ROCP
16,Volume,,Fake_news,MOM,,MOM,,MOM,,,,,,,,,,,MOM,,,,MOM
17,TRIX,,Lowerband,,,,,,,,,,,,,,,,,,,,
18,,,Variance,,,,,,,,,,,,,,,,,,,,
19,,,NATR,,,,,,,,,,,,,,,,,,,,
20,,,MACDSIGNAL,,,,,,,,,,,,,,,,,,,,
