,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index
0,AvgTrueRange,NATR,TRANGE,Fake_news,,Fake_news,,Fake_news,,,,,,B5_N_Dm,,B5_N_Dm,,B5_N_Dm,Fake_news,,B5_N_Dm,Verified_status_True,Verified_status_False
1,TRANGE,Volume,AvgTrueRange,N,,N,,N,,,,,,B5_E_Dm,,B5_E_Dm,,B5_E_Dm,N,,B5_E_Dm,B5_N_Dm,Fake_news
2,NATR,AvgTrueRange,Verified_status_False,E,,E,,E,,,,,,B5_O_Dm,,B5_O_Dm,,B5_O_Dm,E,,B5_O_Dm,B5_E_Dm,N
3,Variance,Middleband,Fake_news,O,,O,,O,,,,,,Downward_momentum_created,,Downward_momentum_created,,Downward_momentum_created,O,,Downward_momentum_created,B5_O_Dm,E
4,Verified_status_False,High,N,Verified_status_False,,Verified_status_False,,Verified_status_False,,,,,,Verified_status_True,,Verified_status_True,,Verified_status_True,Verified_status_False,,Verified_status_True,Downward_momentum_created,O
5,Fake_news,Open,E,Verified_status_True,,Verified_status_True,,Verified_status_True,,,,,,Fake_news,,Fake_news,,Fake_news,Verified_status_True,,Fake_news,Fake_news,Verified_status_True
6,N,Close,O,TRANGE,,TRANGE,,TRANGE,,,,,,N,,N,,N,TRANGE,,N,N,TRANGE
7,E,Adj Close,Variance,B5_N_Dm,,B5_N_Dm,,B5_N_Dm,,,,,,E,,E,,E,B5_N_Dm,,E,E,AD
8,O,Low,,B5_E_Dm,,B5_E_Dm,,B5_E_Dm,,,,,,O,,O,,O,B5_E_Dm,,O,O,B5_N_Dm
9,,Lowerband,,B5_O_Dm,,B5_O_Dm,,B5_O_Dm,,,,,,Verified_status_False,,Verified_status_False,,Verified_status_False,B5_O_Dm,,Verified_status_False,Verified_status_False,B5_E_Dm
10,,,,Downward_momentum_created,,Downward_momentum_created,,Downward_momentum_created,,,,,,,,,,,Downward_momentum_created,,,,B5_O_Dm
11,,,,AD,,AD,,AD,,,,,,,,,,,AD,,,,Downward_momentum_created
12,,,,OBV,,OBV,,OBV,,,,,,,,,,,OBV,,,,OBV
13,,,,AvgTrueRange,,AvgTrueRange,,AvgTrueRange,,,,,,,,,,,AvgTrueRange,,,,AvgTrueRange
14,,,,Upperband,,Upperband,,Upperband,,,,,,,,,,,Upperband,,,,Upperband
15,,,,,,,,,,,,,,,,,,,,,,,High
