,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index
0,AvgTrueRange,NATR,TRANGE,N,N,N,,N,B5_E_Um,B5_E_Um,B5_E_Um,,B5_E_Um,B5_O_Dm,B5_O_Dm,B5_O_Dm,,B5_O_Dm,,B5_E_Um,B5_O_Dm,Verified_status_True,Verified_status_False
1,TRANGE,Volume,AvgTrueRange,E,E,E,,E,Upward_momentum_created,Upward_momentum_created,Upward_momentum_created,,Upward_momentum_created,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,,Downward_momentum_created,,Upward_momentum_created,Downward_momentum_created,N,N
2,Variance,N,Verified_status_True,C,C,C,,C,B5_O_Um,B5_O_Um,B5_O_Um,,B5_O_Um,B5_N_Dm,B5_N_Dm,B5_N_Dm,,B5_N_Dm,,B5_O_Um,B5_N_Dm,E,E
3,AD,E,Volume,O,O,O,,O,B5_C_Um,B5_C_Um,B5_C_Um,,B5_C_Um,B5_E_Dm,B5_E_Dm,B5_E_Dm,,B5_E_Dm,,B5_C_Um,B5_E_Dm,C,C
4,Upperband,C,Variance,Verified_status_False,Verified_status_False,Verified_status_False,,Verified_status_False,B5_N_Um,B5_N_Um,B5_N_Um,,B5_N_Um,B5_C_Dm,B5_C_Dm,B5_C_Dm,,B5_C_Dm,,B5_N_Um,B5_C_Dm,O,O
5,NATR,O,E,Volume,Volume,Volume,,Volume,B5_O_Dm,B5_O_Dm,B5_O_Dm,,B5_O_Dm,B5_E_Um,B5_E_Um,B5_E_Um,,B5_E_Um,,B5_O_Dm,B5_E_Um,Verified_status_False,Volume
6,Middleband,Verified_status_False,N,Verified_status_True,Verified_status_True,Verified_status_True,,Verified_status_True,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,,Downward_momentum_created,Upward_momentum_created,Upward_momentum_created,Upward_momentum_created,,Upward_momentum_created,,Downward_momentum_created,Upward_momentum_created,Volume,Verified_status_True
7,,Verified_status_True,O,B5_E_Um,B5_E_Um,B5_E_Um,,B5_E_Um,B5_N_Dm,B5_N_Dm,B5_N_Dm,,B5_N_Dm,B5_O_Um,B5_O_Um,B5_O_Um,,B5_O_Um,,B5_N_Dm,B5_O_Um,B5_E_Dm,B5_E_Um
8,,AvgTrueRange,C,B5_C_Um,B5_C_Um,B5_C_Um,,B5_C_Um,B5_E_Dm,B5_E_Dm,B5_E_Dm,,B5_E_Dm,B5_C_Um,B5_C_Um,B5_C_Um,,B5_C_Um,,B5_E_Dm,B5_C_Um,B5_C_Dm,B5_C_Um
9,,Variance,Verified_status_False,B5_O_Um,B5_O_Um,B5_O_Um,,B5_O_Um,B5_C_Dm,B5_C_Dm,B5_C_Dm,,B5_C_Dm,B5_N_Um,B5_N_Um,B5_N_Um,,B5_N_Um,,B5_C_Dm,B5_N_Um,B5_O_Dm,B5_O_Um
10,,Beta,B5_E_Um,Upward_momentum_created,Upward_momentum_created,Upward_momentum_created,,Upward_momentum_created,Verified_status_True,Verified_status_True,Verified_status_True,,Verified_status_True,Verified_status_True,Verified_status_True,Verified_status_True,,Verified_status_True,,Verified_status_True,Verified_status_True,B5_N_Dm,Upward_momentum_created
11,,APO,B5_C_Um,B5_N_Um,B5_N_Um,B5_N_Um,,B5_N_Um,N,N,N,,N,N,N,N,,N,,N,N,B5_E_Um,B5_N_Um
12,,MACD,B5_O_Um,B5_N_Dm,B5_N_Dm,B5_N_Dm,,B5_N_Dm,E,E,E,,E,E,E,E,,E,,E,E,B5_C_Um,B5_N_Dm
13,,PPO,Upward_momentum_created,B5_E_Dm,B5_E_Dm,B5_E_Dm,,B5_E_Dm,O,O,O,,O,O,O,O,,O,,O,O,B5_O_Um,B5_E_Dm
14,,,B5_N_Um,B5_C_Dm,B5_C_Dm,B5_C_Dm,,B5_C_Dm,C,C,C,,C,C,C,C,,C,,C,C,Downward_momentum_created,B5_C_Dm
15,,,B5_E_Dm,B5_O_Dm,B5_O_Dm,B5_O_Dm,,B5_O_Dm,Verified_status_False,Verified_status_False,Verified_status_False,,Verified_status_False,Verified_status_False,Verified_status_False,Verified_status_False,,Verified_status_False,,Verified_status_False,Verified_status_False,Upward_momentum_created,B5_O_Dm
16,,,B5_C_Dm,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,,Downward_momentum_created,Volume,Volume,Volume,,Volume,Volume,Volume,Volume,,Volume,,Volume,Volume,B5_N_Um,Downward_momentum_created
17,,,B5_O_Dm,NATR,NATR,NATR,,NATR,TRANGE,TRANGE,TRANGE,,TRANGE,TRANGE,TRANGE,TRANGE,,TRANGE,,TRANGE,TRANGE,TRANGE,NATR
18,,,B5_N_Dm,Variance,Variance,Variance,,Variance,,,,,,,,,,,,,,NATR,Variance
19,,,Downward_momentum_created,TRANGE,TRANGE,TRANGE,,TRANGE,,,,,,,,,,,,,,Variance,TRANGE
20,,,,,,,,,,,,,,,,,,,,,,Beta,
