,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index
0,AvgTrueRange,NATR,TRANGE,Fake_news,,Fake_news,,Fake_news,,,,,,B5_O_Dm,,B5_O_Dm,,B5_O_Dm,Fake_news,,B5_O_Dm,Verified_status_True,Verified_status_False
1,Variance,AvgTrueRange,Verified_status_False,N,,N,,N,,,,,,B5_N_Dm,,B5_N_Dm,,B5_N_Dm,N,,B5_N_Dm,B5_O_Dm,Fake_news
2,MACDSIGNAL,Variance,Fake_news,E,,E,,E,,,,,,Downward_momentum_created,,Downward_momentum_created,,Downward_momentum_created,E,,Downward_momentum_created,B5_N_Dm,N
3,NATR,MACDSIGNAL,E,O,,O,,O,,,,,,B5_E_Dm,,B5_E_Dm,,B5_E_Dm,O,,B5_E_Dm,Downward_momentum_created,E
4,MACD,PPO,O,Verified_status_False,,Verified_status_False,,Verified_status_False,,,,,,Verified_status_True,,Verified_status_True,,Verified_status_True,Verified_status_False,,Verified_status_True,B5_E_Dm,O
5,TRANGE,ADOSC,N,Verified_status_True,,Verified_status_True,,Verified_status_True,,,,,,N,,N,,N,Verified_status_True,,N,N,Verified_status_True
6,PPO,,B5_N_Dm,Downward_momentum_created,,Downward_momentum_created,,Downward_momentum_created,,,,,,Fake_news,,Fake_news,,Fake_news,Downward_momentum_created,,Fake_news,Fake_news,Downward_momentum_created
7,APO,,B5_E_Dm,B5_O_Dm,,B5_O_Dm,,B5_O_Dm,,,,,,O,,O,,O,B5_O_Dm,,O,O,B5_O_Dm
8,Upperband,,B5_O_Dm,B5_E_Dm,,B5_E_Dm,,B5_E_Dm,,,,,,E,,E,,E,B5_E_Dm,,E,E,B5_E_Dm
9,Downward_momentum_created,,Downward_momentum_created,B5_N_Dm,,B5_N_Dm,,B5_N_Dm,,,,,,Verified_status_False,,Verified_status_False,,Verified_status_False,B5_N_Dm,,Verified_status_False,Verified_status_False,B5_N_Dm
10,B5_O_Dm,,Verified_status_True,TRANGE,,TRANGE,,TRANGE,,,,,,TRANGE,,TRANGE,,TRANGE,TRANGE,,TRANGE,TRANGE,TRANGE
11,B5_E_Dm,,ROCP,ROCP,,ROCP,,ROCP,,,,,,ROCP,,ROCP,,ROCP,ROCP,,ROCP,ROCP,ROCP
12,B5_N_Dm,,Variance,Variance,,Variance,,Variance,,,,,,Variance,,Variance,,Variance,Variance,,Variance,Variance,Variance
13,Verified_status_False,,Volume,Volume,,Volume,,Volume,,,,,,Volume,,Volume,,Volume,Volume,,Volume,Volume,Volume
14,N,,AvgTrueRange,Return,,Return,,Return,,,,,,Return,,Return,,Return,Return,,Return,Return,Return
15,O,,MACD,AvgTrueRange,,AvgTrueRange,,AvgTrueRange,,,,,,AvgTrueRange,,AvgTrueRange,,AvgTrueRange,AvgTrueRange,,AvgTrueRange,AvgTrueRange,AvgTrueRange
16,E,,MOM,MOM,,MOM,,MOM,,,,,,MOM,,MOM,,MOM,MOM,,MOM,MOM,MOM
17,Fake_news,,Return,,,,,,,,,,,,,,,,,,,,
18,Verified_status_True,,MACDHIST,,,,,,,,,,,,,,,,,,,,
19,,,PPO,,,,,,,,,,,,,,,,,,,,
20,,,High,,,,,,,,,,,,,,,,,,,,
