,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index
0,AvgTrueRange,NATR,TRANGE,Fake_news,Fake_news,,,Fake_news,,,,,,B5_N_Dm,B5_N_Dm,,,B5_N_Dm,Fake_news,,B5_N_Dm,Verified_status_True,Verified_status_False
1,NATR,AvgTrueRange,Volume,N,N,,,N,,,,,,B5_C_Dm,B5_C_Dm,,,B5_C_Dm,N,,B5_C_Dm,B5_N_Dm,Fake_news
2,TRANGE,TRANGE,AvgTrueRange,C,C,,,C,,,,,,B5_O_Dm,B5_O_Dm,,,B5_O_Dm,C,,B5_O_Dm,B5_C_Dm,N
3,Upperband,Volume,Fake_news,O,O,,,O,,,,,,Downward_momentum_created,Downward_momentum_created,,,Downward_momentum_created,O,,Downward_momentum_created,B5_O_Dm,C
4,High,,C,Verified_status_False,Verified_status_False,,,Verified_status_False,,,,,,Fake_news,Fake_news,,,Fake_news,Verified_status_False,,Fake_news,Downward_momentum_created,O
5,Open,,O,B5_N_Dm,B5_N_Dm,,,B5_N_Dm,,,,,,N,N,,,N,B5_N_Dm,,N,Fake_news,B5_N_Dm
6,Close,,N,B5_C_Dm,B5_C_Dm,,,B5_C_Dm,,,,,,C,C,,,C,B5_C_Dm,,C,N,B5_C_Dm
7,Middleband,,Verified_status_False,B5_O_Dm,B5_O_Dm,,,B5_O_Dm,,,,,,O,O,,,O,B5_O_Dm,,O,C,B5_O_Dm
8,Low,,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,,,Downward_momentum_created,,,,,,Verified_status_False,Verified_status_False,,,Verified_status_False,Downward_momentum_created,,Verified_status_False,O,Downward_momentum_created
9,Adj Close,,B5_O_Dm,Verified_status_True,Verified_status_True,,,Verified_status_True,,,,,,Verified_status_True,Verified_status_True,,,Verified_status_True,Verified_status_True,,Verified_status_True,Verified_status_False,Verified_status_True
10,OBV,,B5_C_Dm,Volume,Volume,,,Volume,,,,,,Volume,Volume,,,Volume,Volume,,Volume,Volume,Volume
11,Variance,,B5_N_Dm,TRANGE,TRANGE,,,TRANGE,,,,,,TRANGE,TRANGE,,,TRANGE,TRANGE,,TRANGE,TRANGE,TRANGE
12,MACDSIGNAL,,Verified_status_True,,,,,,,,,,,Return,Return,,,Return,,,Return,,
13,TRIX,,NATR,,,,,,,,,,,,,,,,,,,,
14,Volume,,Upperband,,,,,,,,,,,,,,,,,,,,
15,MACD,,High,,,,,,,,,,,,,,,,,,,,
16,,,OBV,,,,,,,,,,,,,,,,,,,,
