,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index
0,AvgTrueRange,NATR,TRANGE,Fake_news,Fake_news,Fake_news,Fake_news,Fake_news,,,,,,B5_A_Dm,B5_A_Dm,B5_A_Dm,B5_A_Dm,B5_A_Dm,Fake_news,,B5_A_Dm,Verified_status_True,Verified_status_False
1,TRANGE,,AvgTrueRange,A,A,A,A,A,,,,,,B5_N_Dm,B5_N_Dm,B5_N_Dm,B5_N_Dm,B5_N_Dm,A,,B5_N_Dm,B5_N_Dm,Fake_news
2,TRIX,,Variance,E,E,E,E,E,,,,,,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,E,,Downward_momentum_created,Downward_momentum_created,A
3,Upperband,,O,C,C,C,C,C,,,,,,B5_O_Dm,B5_O_Dm,B5_O_Dm,B5_O_Dm,B5_O_Dm,C,,B5_O_Dm,B5_O_Dm,E
4,High,,N,O,O,O,O,O,,,,,,B5_C_Dm,B5_C_Dm,B5_C_Dm,B5_C_Dm,B5_C_Dm,O,,B5_C_Dm,B5_C_Dm,C
5,Open,,Fake_news,N,N,N,N,N,,,,,,B5_E_Dm,B5_E_Dm,B5_E_Dm,B5_E_Dm,B5_E_Dm,N,,B5_E_Dm,B5_E_Dm,O
6,Variance,,C,Verified_status_False,Verified_status_False,Verified_status_False,Verified_status_False,Verified_status_False,,,,,,N,N,N,N,N,Verified_status_False,,N,B5_A_Dm,N
7,Close,,E,B5_E_Dm,B5_E_Dm,B5_E_Dm,B5_E_Dm,B5_E_Dm,,,,,,Fake_news,Fake_news,Fake_news,Fake_news,Fake_news,B5_E_Dm,,Fake_news,Volume,B5_E_Dm
8,Adj Close,,A,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,Downward_momentum_created,,,,,,O,O,O,O,O,Downward_momentum_created,,O,N,Downward_momentum_created
9,Middleband,,Verified_status_False,B5_O_Dm,B5_O_Dm,B5_O_Dm,B5_O_Dm,B5_O_Dm,,,,,,C,C,C,C,C,B5_O_Dm,,C,O,B5_O_Dm
10,Low,,TRIX,B5_C_Dm,B5_C_Dm,B5_C_Dm,B5_C_Dm,B5_C_Dm,,,,,,E,E,E,E,E,B5_C_Dm,,E,C,B5_C_Dm
11,N,,Volume,B5_A_Dm,B5_A_Dm,B5_A_Dm,B5_A_Dm,B5_A_Dm,,,,,,A,A,A,A,A,B5_A_Dm,,A,E,B5_A_Dm
12,O,,B5_E_Dm,B5_N_Dm,B5_N_Dm,B5_N_Dm,B5_N_Dm,B5_N_Dm,,,,,,Verified_status_False,Verified_status_False,Verified_status_False,Verified_status_False,Verified_status_False,B5_N_Dm,,Verified_status_False,A,B5_N_Dm
13,C,,B5_O_Dm,Volume,Volume,Volume,Volume,Volume,,,,,,Volume,Volume,Volume,Volume,Volume,Volume,,Volume,Fake_news,Volume
14,E,,Downward_momentum_created,Variance,Variance,Variance,Variance,Variance,,,,,,Verified_status_True,Verified_status_True,Verified_status_True,Verified_status_True,Verified_status_True,Variance,,Verified_status_True,Verified_status_False,Variance
15,A,,B5_A_Dm,Verified_status_True,Verified_status_True,Verified_status_True,Verified_status_True,Verified_status_True,,,,,,Variance,Variance,Variance,Variance,Variance,Verified_status_True,,Variance,Variance,Verified_status_True
16,Fake_news,,B5_N_Dm,TRANGE,TRANGE,TRANGE,TRANGE,TRANGE,,,,,,TRANGE,TRANGE,TRANGE,TRANGE,TRANGE,TRANGE,,TRANGE,TRANGE,TRANGE
17,Verified_status_False,,B5_C_Dm,AvgTrueRange,AvgTrueRange,AvgTrueRange,AvgTrueRange,AvgTrueRange,,,,,,ROCP,ROCP,ROCP,ROCP,ROCP,AvgTrueRange,,ROCP,,AvgTrueRange
18,OBV,,Upperband,OBV,OBV,OBV,OBV,OBV,,,,,,Return,Return,Return,Return,Return,OBV,,Return,,OBV
19,Lowerband,,Verified_status_True,TRIX,TRIX,TRIX,TRIX,TRIX,,,,,,,,,,,TRIX,,,,TRIX
20,Volume,,High,ROCP,ROCP,ROCP,ROCP,ROCP,,,,,,,,,,,ROCP,,,,ROCP
21,MACDSIGNAL,,Close,MACD,MACD,MACD,MACD,MACD,,,,,,,,,,,MACD,,,,MACD
22,,,Adj Close,,,,,,,,,,,,,,,,,,,,
23,,,Open,,,,,,,,,,,,,,,,,,,,
24,,,OBV,,,,,,,,,,,,,,,,,,,,
25,,,Low,,,,,,,,,,,,,,,,,,,,
26,,,Middleband,,,,,,,,,,,,,,,,,,,,
27,,,MACD,,,,,,,,,,,,,,,,,,,,
28,,,MACDSIGNAL,,,,,,,,,,,,,,,,,,,,
