,Date,Open,High,Low,Close,Adj Close,Volume,Return,Beta,Variance,AvgTrueRange,Upperband,Lowerband,Middleband,APO,NATR,TRANGE,DMI,MACD,MACDSIGNAL,MACDHIST,MOM,PPO,ROCP,RSI,TRIX,ULTOSC,SLOWK,SLOWD,AD,ADOSC,OBV,Upward_momentum_created,Downward_momentum_created,B5_O_Um,B5_C_Um,B5_E_Um,B5_A_Um,B5_N_Um,B5_O_Dm,B5_C_Dm,B5_E_Dm,B5_A_Dm,B5_N_Dm,Verified_status_True,Verified_status_False,O,C,E,A,N,Real_or_Fake_tweet
0,2020-03-23,57.02000045776367,57.125,53.15250015258789,56.092498779296875,55.40266799926758,336752800,-2.124415572883842,0.6298996562847023,16.35735368586984,5.010934506430421,69.44955958463898,53.271869422755,61.36071450369699,,8.933341561670456,4.157501220703125,65.76501398481372,,,,-10.450004577636719,,-0.157042552510881,35.353915727075346,,,16.006750178895246,18.466645360107435,-258040911.14752144,-111965947.82253198,-2343888800.0,0.0,5021563.184898111,0.0,0.0,0.0,0.0,0.0,5021563.184898111,0.0,5021563.184898111,0.0,5021563.184898111,6,367,373,0,373,0,373,373
1,2020-03-24,59.09000015258789,61.92250061035156,58.57500076293945,61.720001220703125,60.96096420288086,287531200,10.032540114763622,0.8935222167566571,5.696339080749112,5.1279441242338875,65.0237584095282,55.47695657373073,60.250357491629465,,8.308399259256316,5.8300018310546875,23.115085845819625,,,,-9.614997863769531,,-0.1347865421906539,42.673832561484524,,,38.43608607580149,23.05872344551049,-5296803.102070987,-16734911.468688518,-2056357600.0,0.0,14367550.532510923,0.0,0.0,0.0,0.0,0.0,14367550.532510923,0.0,14367550.532510923,0.0,14367550.532510923,27,988,1015,0,1015,0,1015,1015
2,2020-03-25,62.6875,64.5625,61.07500076293945,61.380001068115234,60.62514114379883,303602000,-0.55087515531973,0.9361199019486156,5.851622126911025,4.893594854637696,65.20659695958076,55.530546420720576,60.36857169015067,,7.972620999480151,3.487499237060547,5.66173757544104,,,,-7.477497100830078,,-0.10859379587802719,42.361738288835056,,,61.14211466773808,38.528316974144936,-255795592.83153644,-55959565.01342897,-2359959600.0,0.0,20204030.909943942,0.0,0.0,0.0,0.0,0.0,20204030.909943942,0.0,20204030.909943942,0.0,20204030.909943942,43,1046,1089,0,1089,0,1089,1089
3,2020-03-26,61.630001068115234,64.66999816894531,61.59000015258789,64.61000061035156,63.815425872802734,252087200,5.2622995862315225,0.9341946654682645,7.224416489691521,4.664509461236607,65.94351240283854,55.192202536823864,60.567857469831196,,7.219485245584842,3.289997100830078,4.954908724705914,,,,2.552501678466797,,0.041131236714332636,46.374157580904075,,,85.59069624574096,61.722965663093504,-13529578.736468673,10165859.840646848,-2107872400.0,0.0,13608864.090651503,0.0,0.0,0.0,0.0,0.0,13608864.090651503,0.0,13608864.090651503,0.0,13608864.090651503,19,956,975,0,975,0,975,975
4,2020-03-27,63.1875,63.967498779296875,61.76250076293945,61.935001373291016,61.173316955566406,204216800,-4.140224751262378,0.9613339488701832,7.317223247403945,4.404936659261678,66.0161453058719,55.19599872837754,60.606072017124724,,7.1121927207404125,2.8474998474121094,4.954908724705918,,,,-7.557498931884766,,-0.10875272725396362,43.66323432651937,,,82.61347828602815,76.4487630665024,-185793948.50051084,-18518389.447667092,-2312089200.0,0.0,8587940.127307096,0.0,0.0,0.0,0.0,0.0,8587940.127307096,0.0,8587940.127307096,0.0,8587940.127307096,13,769,782,0,782,0,782,782
5,2020-03-30,62.685001373291016,63.880001068115234,62.349998474121094,63.70249938964844,62.91908264160156,167976400,2.8537950709074167,0.9549101755353112,8.509052470399183,4.053517092913469,66.79834229956268,55.13023021892225,60.96428625924246,-4.875399956336395,6.363199453320288,1.9449996948242188,4.954908724705913,,,,3.1499977111816406,-7.3005311150612995,0.05202093429447553,45.91308332013707,,,86.6196573422287,84.9412772913326,-56792767.313668296,12476465.261805922,-2144112800.0,0.0,13766672.702713558,0.0,0.0,0.0,0.0,0.0,13766672.702713558,0.0,13766672.702713558,0.0,13766672.702713558,17,672,689,0,689,0,689,689
6,2020-03-31,63.900001525878906,65.62249755859375,63.0,63.5724983215332,62.790679931640625,197002000,-0.20407530216366432,0.8973997902208243,6.772806284940998,3.849085730867795,67.06385184409525,56.65400551674459,61.85892868041992,-4.946714230072807,6.054639714488045,2.62249755859375,10.462539732528665,,,,0.3574981689453125,-7.454426242845584,0.005655274350745648,45.768306520580076,,,71.76672272950616,80.33328611925434,-167782626.734852,-11293000.83304137,-2341114800.0,0.0,18819568.419601582,0.0,0.0,0.0,0.0,0.0,18819568.419601582,0.0,18819568.419601582,0.0,18819568.419601582,17,880,897,0,897,0,897,897
7,2020-04-01,61.625,62.18000030517578,59.782501220703125,60.227500915527344,59.486820220947266,176218400,-5.26170513086922,1.034630491010138,2.0538400924074267,3.840644498005264,65.3158882660077,59.58339827661227,62.44964327130999,-4.5202400990021445,6.376895005808055,3.789997100830078,16.090495642819846,,,,-1.4399986267089844,-6.858630985661188,-0.023351013700867233,42.09056800923889,,,48.88882659398072,69.09173555523851,-278585248.4930343,-55245616.53735134,-2517333200.0,0.0,11913665.02784524,0.0,0.0,0.0,0.0,0.0,11913665.02784524,0.0,11913665.02784524,0.0,11913665.02784524,16,876,892,0,892,0,892,892
8,2020-04-02,60.084999084472656,61.287498474121094,59.224998474121094,61.23249816894531,60.47945022583008,165934000,1.6686683626928822,0.8700100272807172,2.184570572445864,3.586623855433083,65.33605855167139,59.423941404732076,62.37999997820173,-4.226602432055351,5.857386131033399,2.0625,19.978965370496276,,,,0.03749847412109375,-6.458051852928979,0.0006127702313603461,43.55804672822196,,43.16571871187701,31.3065260886559,50.65402513738092,-121501110.93088943,-18222586.779581934,-2351399200.0,0.0,8358767.0395237245,0.0,0.0,0.0,0.0,0.0,8358767.0395237245,0.0,8358767.0395237245,0.0,8358767.0395237245,16,769,785,0,785,0,785,785
9,2020-04-03,60.70000076293945,61.42499923706055,59.74250030517578,60.352500915527344,59.61027526855469,129880000,-1.4371408643005013,0.8415362038986111,2.6074180385526233,3.314606009211895,65.4627145369328,59.0037139473027,62.23321424211775,-4.027435791798119,5.492077310683776,1.6824989318847656,18.400173822755473,,,,3.042499542236328,-6.182902672201808,0.05308845697662584,42.54147923328876,,48.66215058538212,18.87447332317561,33.02327533527073,-157203482.91455594,-12780048.711699069,-2481279200.0,0.0,9937700.507384952,0.0,0.0,0.0,0.0,0.0,9937700.507384952,0.0,9937700.507384952,0.0,9937700.507384952,14,852,866,0,866,0,866,866
10,2020-04-06,62.724998474121094,65.77749633789062,62.345001220703125,65.61750030517578,64.81053161621094,201820400,8.723746836966395,0.6963173508849775,3.415885291198265,3.6160902110906648,66.07356552239477,58.68072001750478,62.37714276994978,-3.55418268839518,5.510862489843178,5.424995422363281,20.320712773515183,,,,9.525001525878906,-5.46515184407714,0.16980882886598161,50.05226407673371,,52.536598641024725,48.85393368419204,33.011644365341176,25802345.050521046,48837393.8242047,-2279458800.0,0.0,10896681.72761624,0.0,0.0,0.0,0.0,0.0,10896681.72761624,0.0,10896681.72761624,0.0,10896681.72761624,20,932,952,0,952,0,952,952
11,2020-04-07,67.69999694824219,67.92500305175781,64.75,64.85749816894531,64.05986785888672,202887200,-1.1582308571582711,0.7594391615266295,4.092532836385999,3.5530777597574,66.84064420857024,58.74864041580197,62.794642312186106,-2.546570728986687,5.478283714401219,3.1750030517578125,32.944023522201746,,,,3.1374969482421875,-3.938712412342684,0.05083436302962608,49.055438408333494,,50.87323328020668,59.974565991463635,42.56765766627709,-163346283.90126124,9421111.665670529,-2482346000.0,0.0,9129615.371118642,0.0,0.0,0.0,0.0,0.0,9129615.371118642,0.0,9129615.371118642,0.0,9129615.371118642,26,913,939,0,939,0,939,939
12,2020-04-08,65.68499755859375,66.84249877929688,65.30750274658203,66.51750183105469,65.699462890625,168895200,2.559462990362782,0.7195676593827383,5.793024896055158,3.329066738413709,68.01052622406173,58.38304481214084,63.19678551810129,-1.454262782365852,5.004798206145926,1.9850006103515625,32.94402352220176,,,,5.137500762939453,-2.2570734056206283,0.08369991322154285,51.335199559380484,,51.248870644153634,82.04047298302198,63.622990886225885,-65969737.24354112,23423250.931392893,-2313450800.0,0.0,9771923.555867892,0.0,0.0,0.0,0.0,0.0,9771923.555867892,0.0,9771923.555867892,0.0,9771923.555867892,16,748,764,0,764,0,764,764
13,2020-04-09,67.17500305175781,67.51750183105469,66.17500305175781,66.99749755859375,66.1735610961914,161834800,0.7216081697688947,0.7490355427477363,7.597089050232626,3.045271315682733,69.1986346106428,58.17350763614849,63.68607112339565,-0.6803368054903416,4.545350836453916,1.342498779296875,37.20048684237968,-1.7362609000173634,-3.445618783754262,1.7093578837368986,2.3874969482421875,-1.06141404211089,0.036952436552982665,52.00401977893796,,55.474162538430804,79.07598181919396,73.69700693122651,-29505311.847437374,38624329.53600389,-2151616000.0,0.0,9003062.325206112,0.0,0.0,0.0,0.0,0.0,9003062.325206112,0.0,9003062.325206112,0.0,9003062.325206112,16,834,850,0,850,0,850,850
14,2020-04-13,67.07749938964844,68.42500305175781,66.4574966430664,68.3125,67.47238159179688,131022800,1.962763520019828,0.5576646427401223,7.611940962004155,2.8913049003982576,70.35902023557814,59.3231217496339,64.84107099260602,0.08650618333082605,4.232468289695528,1.9675064086914062,42.88686425050811,-1.2459266316346458,-3.0056803533303387,1.7597537216956929,6.377498626708984,0.1353603291852663,0.10297083208686632,53.87431906708608,,63.76925698273664,90.21207504538296,83.77617661586629,86533582.85524017,78253116.41274178,-2020593200.0,0.0,16887634.880999573,0.0,0.0,0.0,0.0,0.0,16887634.880999573,0.0,16887634.880999573,0.0,16887634.880999573,17,1072,1089,0,1089,0,1089,1089
15,2020-04-14,70.0,72.0625,69.51249694824219,71.76249694824219,70.87995147705078,194994800,5.0503157522300945,0.5435919806595246,10.332543038693984,3.0139756289127924,72.7742111859237,59.91650187908745,66.34535653250558,0.7015861119979547,4.199931380713502,3.75,59.87639982561874,-0.5723495806871597,-2.519014198801703,1.9466646181145433,8.05999755859375,1.09813221453093,0.12652560944733493,58.44903557709928,,63.85526070023456,94.23726191278934,87.84177292578875,235646841.62604147,134796100.97914028,-1825598400.0,0.0,16513372.210098512,0.0,0.0,0.0,0.0,0.0,16513372.210098512,0.0,16513372.210098512,0.0,16513372.210098512,25,1408,1433,0,1433,0,1433,1433
16,2020-04-15,70.5999984741211,71.5824966430664,70.15750122070312,71.10749816894531,70.23301696777344,131154400,-0.9127313111321755,0.5214321872487819,6.081027849223574,2.812692785859402,72.81373274422889,62.9498366789017,67.88178471156529,1.290384121430236,3.9555501997506446,1.6049957275390625,59.87639982561874,-0.09034638549343299,-2.033280636140049,1.942934250646616,7.534999847412109,2.0141916397333186,0.1185260929860273,57.28735525716492,,66.4832568040618,93.30310230991616,92.58414642269615,279364974.9593748,159583446.09153295,-1956752800.0,0.0,12935425.438041024,0.0,0.0,0.0,0.0,0.0,12935425.438041024,0.0,12935425.438041024,0.0,12935425.438041024,27,1072,1099,0,1099,0,1099,1099
17,2020-04-16,71.84500122070312,72.05000305175781,70.5875015258789,71.67250061035156,70.79106140136719,157125200,0.7945750532016405,0.6279864132230936,6.653166081272502,2.6198083201479028,73.90553114601009,63.58803836431356,68.74678475516183,1.9415700619037324,3.655248941836874,1.4625015258789062,61.86108812913411,0.3333924537647448,-1.5599460181590903,1.893338471923835,11.444999694824219,3.0300295036029605,0.1900294636311826,58.06166545559104,,60.87402283087836,91.71182954162323,93.08406458810957,355375529.1872287,179401313.97441685,-1799627600.0,0.0,12436068.782785706,0.0,0.0,0.0,0.0,0.0,12436068.782785706,0.0,12436068.782785706,0.0,12436068.782785706,20,1178,1198,0,1198,0,1198,1198
18,2020-04-17,71.17250061035156,71.73750305175781,69.21499633789062,70.69999694824219,69.83051300048828,215250000,-1.356871399529369,0.6674858902422399,4.34060734788909,2.605908090679229,73.7482522952357,65.41460258060134,69.58142743791852,2.4646629431308753,3.685867331206468,2.5225067138671875,38.41138050763551,0.5840035889267909,-1.131156096741914,1.715159685668705,9.467498779296875,3.8421232472199724,0.15461558914639242,56.1740233730045,,69.4862286620781,84.97646719477164,89.997133015437,393561034.13233346,183349346.593183,-2014877600.0,0.0,23587616.84736097,0.0,0.0,0.0,0.0,0.0,23587616.84736097,0.0,23587616.84736097,0.0,23587616.84736097,50,1444,1494,0,1494,0,1494,1494
19,2020-04-20,69.48750305175781,70.41999816894531,69.2125015258789,69.23249816894531,68.38106536865234,130015200,-2.075670215900005,0.7143145536225505,2.866476234780748,2.4461348523483792,73.35541827514652,66.58314984008786,69.96928405761719,2.939117871798004,3.5332176608435732,1.4874954223632812,38.368869246425604,0.6566306031534026,-0.7735987567628507,1.4302293599162534,8.879997253417969,4.562117509292122,0.147135530735452,53.35513689163138,,62.80534355482181,56.589582403181396,77.75929304652543,267852044.94051445,128298013.68590099,-2144892800.0,0.0,15649157.440537002,0.0,0.0,0.0,0.0,0.0,15649157.440537002,0.0,15649157.440537002,0.0,15649157.440537002,13,896,909,0,909,0,909,909
20,2020-04-21,69.06999969482422,69.3125,66.35749816894531,67.09249877929688,66.26738739013672,180991600,-3.091033035419699,0.8908061031335892,2.786917552343766,2.518830135020709,73.32166835513777,66.64404296601177,69.98285566057477,3.519759006989318,3.7542649041981417,2.9550018310546875,1.8702501281883448,0.5353369381663526,-0.51181161777701,1.0471485559433626,1.4749984741210938,5.471231601095094,0.02247873611858312,49.4575547155155,,58.46868367435778,29.768223233319116,57.11142427709072,176896894.37379664,65173282.89024806,-2325884400.0,0.0,17951131.156251464,0.0,0.0,0.0,0.0,0.0,17951131.156251464,0.0,17951131.156251464,0.0,17951131.156251464,25,1114,1139,0,1139,0,1139,1139
21,2020-04-22,68.40249633789062,69.4749984741211,68.05000305175781,69.0250015258789,68.17611694335938,116862400,2.8803558993071077,0.9055474141948839,2.5090423921255933,2.499354357849782,73.25263300200174,66.91665018368465,70.0846415928432,3.916602012438645,3.620940677433701,2.3824996948242188,0.0596742417933987,0.5883653463720435,-0.2917762249471993,0.8801415713192429,4.167503356933594,6.057414704084266,0.06425630766820194,52.80998900679028,,60.40626586159069,20.157761578214924,35.50518907157181,219951726.23853374,47123950.16805658,-2209022000.0,0.0,10731027.4471491,0.0,0.0,0.0,0.0,0.0,10731027.4471491,0.0,10731027.4471491,0.0,10731027.4471491,21,852,873,0,873,0,873,873
22,2020-04-23,68.96749877929688,70.4375,68.71749877929688,68.75749969482422,67.91191864013672,124814400,-0.38754339028068685,1.0725231959103667,2.1742003650615516,2.3880181954002597,72.60439025856469,66.70632228328797,69.65535627092633,3.9650955689259177,3.4731021430379614,1.720001220703125,11.628848456011239,0.601867624439123,-0.1130474550699348,0.7149150795090577,2.2399978637695312,6.112263089455497,0.0336753155501663,52.29293210319948,,49.39157981061517,34.793767020881745,28.239917277471932,100942775.92182536,-2410347.4252522886,-2333836400.0,0.0,10730000.185046973,0.0,0.0,0.0,0.0,0.0,10730000.185046973,0.0,10730000.185046973,0.0,10730000.185046973,16,981,997,0,997,0,997,997
23,2020-04-24,69.30000305175781,70.75250244140625,69.25,70.74250030517578,69.87249755859375,126161200,2.8869586869241237,1.1656753101746673,2.039076670652321,2.33187313128337,72.45913855736264,66.7472888805559,69.60321371895927,4.106473922729492,3.2962831695570722,1.9950027465820312,15.369504419442622,0.763935069056032,0.06234904975525857,0.7015860193007735,3.7450027465820312,6.29632296318167,0.055897651151922176,55.7547741552469,,54.67580902568175,63.74733193011998,39.56628684307222,225424269.48724765,17152492.18696052,-2207675200.0,0.0,20471906.13935773,0.0,0.0,0.0,0.0,0.0,20471906.13935773,0.0,20471906.13935773,0.0,20471906.13935773,33,878,911,0,911,0,911,911
