,Date,Open,High,Low,Close,Adj Close,Volume,Return,Beta,Variance,AvgTrueRange,Upperband,Lowerband,Middleband,APO,NATR,TRANGE,DMI,MACD,MACDSIGNAL,MACDHIST,MOM,PPO,ROCP,RSI,TRIX,ULTOSC,SLOWK,SLOWD,AD,ADOSC,OBV,Upward_momentum_created,Downward_momentum_created,B5_O_Um,B5_C_Um,B5_E_Um,B5_A_Um,B5_N_Um,B5_O_Dm,B5_C_Dm,B5_E_Dm,B5_A_Dm,B5_N_Dm,Verified_status_True,Verified_status_False,O,C,E,A,N,Real_or_Fake_tweet
0,2016-03-28,2.880000114440918,2.928999900817871,2.630000114440918,2.75,2.75,111000,1.476013331733328,1.1075032309959987,0.05312654138682227,0.22710765894884993,3.3624124394855404,2.4404446189033058,2.901428529194423,,8.258460325412726,0.2989997863769531,45.76503719288337,,,,-0.7000000476837158,,-0.20289856174166912,30.602070369461345,,,31.08716917523387,32.91186259188697,-182475.01213415313,-82100.82405907051,-1141200.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,1600.0,1600.0,1600.0,1600.0,1600.0,0,3,3,3,3,3,3,3
1,2016-03-29,2.799999952316284,2.819999933242798,2.609999895095825,2.75,2.75,23100,0.0,1.2599970298335106,0.0034122383896226793,0.22466371312001035,2.9182572583958724,2.6845997863690547,2.8014285223824635,,8.169589568000376,0.21000003814697266,47.163146889752404,,,,-0.7000000476837158,,-0.20289856174166912,30.602070369461345,,,27.859244445020384,30.604077888568366,-174774.99465012716,-76501.88274358893,-1141200.0,0.0,255261.0249026793,0.0,0.0,0.0,0.0,0.0,255261.0249026793,255261.0249026793,255261.0249026793,255261.0249026793,255261.0249026793,1,8,9,9,9,9,9,9
2,2016-03-30,2.9000000953674316,2.9600000381469727,2.803999900817871,2.8499999046325684,2.8499999046325684,297200,3.6363601684570312,0.48226295487462456,0.0034122383896226793,0.2225689024095764,2.9182572583958724,2.6845997863690547,2.8014285223824635,,7.809435433587172,0.21000003814697266,21.569755582948858,,,,-0.40000009536743164,,-0.1230769524207482,37.60707078806936,,,33.33333333333333,30.759915651195843,-296703.3395375814,-106052.07260202838,-844000.0,0.0,58496.72739294723,0.0,0.0,0.0,0.0,0.0,58496.72739294723,58496.72739294723,58496.72739294723,58496.72739294723,58496.72739294723,1,2,3,3,3,3,3,3
3,2016-03-31,2.930000066757202,2.950000047683716,2.8299999237060547,2.859999895095825,2.859999895095825,412300,0.35087687010102453,0.8552878172161649,0.0035632585097360447,0.20791621977644567,2.922243163826104,2.6834710210711825,2.8028570924486433,,7.269798160935924,0.12000012397766113,21.56975558294887,,,,-0.3900001049041748,,-0.12000003227820763,38.278014707663246,,,48.316485877836726,36.50302121873013,-502853.74912040896,-174093.0012657416,-431700.0,0.0,176634.66972750204,0.0,0.0,0.0,0.0,0.0,176634.66972750204,176634.66972750204,176634.66972750204,176634.66972750204,176634.66972750204,3,9,12,12,12,12,12,12
4,2016-04-01,2.950000047683716,2.9600000381469727,2.8499999046325684,2.9200000762939453,2.9200000762939453,29900,2.0979085104515294,0.8559803826453609,0.005253058308976932,0.1939282074532969,2.9606702270946283,2.670758287113484,2.815714257104056,,6.641376794052347,0.1100001335144043,19.54842460363895,,,,-0.5299999713897705,,-0.15362317798969466,42.288102315473694,,,68.74938887359828,50.133069361589435,-494699.1565339173,-183506.64705376409,-401800.0,0.0,60647.0,0.0,0.0,0.0,0.0,0.0,60647.0,60647.0,60647.0,60647.0,60647.0,1,3,4,4,4,4,4,4
5,2016-04-04,2.9200000762939453,3.0399999618530273,2.8499999046325684,3.0199999809265137,3.0199999809265137,73100,3.4246541787590568,1.0924205677932908,0.010334692266040335,0.19336704313432004,3.0404622191577593,2.6338234651553334,2.8371428421565463,,6.402882263429567,0.19000005722045898,3.488587861846669,,,,0.1700000762939453,,0.05964915157281814,48.31520361555164,,,85.38082643218054,67.48223372787184,-436988.6109068892,-152312.8151717403,-328700.0,0.0,33386.21494160758,0.0,0.0,0.0,0.0,0.0,33386.21494160758,33386.21494160758,33386.21494160758,33386.21494160758,33386.21494160758,0,3,3,3,3,3,3,3
6,2016-04-05,3.0199999809265137,3.25,3.013000011444092,3.240000009536743,3.240000009536743,108600,7.284769205287711,0.7189974743317471,0.025477554780614753,0.19960032105168976,3.2320909238776614,2.5936233236896515,2.9128571237836565,-0.2596154060119238,6.160503718030196,0.2369999885559082,26.677112779665595,,,,0.3900001049041748,-8.282209320003275,0.13684214665068734,58.56695039860872,,,93.89271222640969,82.67430917739615,-337553.1595714433,-94066.52987038507,-220100.0,0.0,5091.214941607579,0.0,0.0,0.0,0.0,0.0,5091.214941607579,5091.214941607579,5091.214941607579,5091.214941607579,5091.214941607579,0,12,12,12,12,12,12,12
7,2016-04-06,3.25,3.2799999713897705,3.130000114440918,3.259999990463257,3.259999990463257,84000,0.6172833601125083,0.7035999495513824,0.033595924159463664,0.19251454046557015,3.3522980846674453,2.6191304458893696,2.9857142652784074,-0.22391027212142944,5.905354019286767,0.14999985694885254,30.07419969198115,,,,0.43000006675720215,-7.146657385844401,0.15194349058288711,59.35621162842807,,,96.22075093422393,91.83142986427139,-275953.1595714433,-42087.00134979567,-136100.0,0.0,13366.429883215158,0.0,0.0,0.0,0.0,0.0,13366.429883215158,13366.429883215158,13366.429883215158,13366.429883215158,13366.429883215158,0,7,7,7,7,7,7,7
8,2016-04-07,3.2799999713897705,3.4000000953674316,3.2799999713897705,3.369999885559082,3.369999885559082,140200,3.3742299207857984,0.7970955664952122,0.038910203824729095,0.18501247824251368,3.4687990680202847,2.6797722869819824,3.0742856775011336,-0.1832692455022764,5.489984704014914,0.1400001049041748,42.505134916747764,,,,0.5,-5.844474932662741,0.17421603482140868,63.47706288108351,,,95.95294290855527,95.35546868972962,-205853.57739957148,5307.8547678405885,4100.0,0.0,62177.537354018954,0.0,0.0,0.0,0.0,0.0,62177.537354018954,62177.537354018954,62177.537354018954,62177.537354018954,62177.537354018954,1,7,8,8,8,8,8,8
9,2016-04-08,3.390000104904175,3.390000104904175,3.0,3.0299999713897705,3.0299999713897705,97900,-10.089018567218899,1.147900730970596,0.03134285253797664,0.2142964249084653,3.454078227029245,2.7459217184750795,3.0999999727521623,-0.15621796021094703,7.072489337687153,0.3900001049041748,3.9682483481252717,,,,0.31999993324279785,-4.998359573954392,0.11808115451599974,47.45975651106692,,51.8046744246941,74.27608402352361,88.81659262210093,-288692.05735315935,-2143.5708754352527,-93800.0,0.0,553.1074708037894,0.0,0.0,0.0,0.0,0.0,553.1074708037894,553.1074708037894,553.1074708037894,553.1074708037894,553.1074708037894,0,1,1,1,1,1,1,1
10,2016-04-11,3.190000057220459,3.190000057220459,2.8399999141693115,2.9700000286102295,2.9700000286102295,49800,-1.980196150035629,0.9897812046151918,0.025281620048993148,0.23368267035741988,3.4337181771952254,2.797710377884643,3.1157142775399342,-0.1351923101987591,7.868103303243686,0.35000014305114746,21.118093188015738,,,,0.2200000286102295,-4.343259709599128,0.08000001040371982,45.28799341050862,,50.61478670858357,50.16233014809034,73.46378569338974,-301497.7541924796,-9071.551189701364,-143600.0,0.0,60203.942334554806,0.0,0.0,0.0,0.0,0.0,60203.942334554806,60203.942334554806,60203.942334554806,60203.942334554806,60203.942334554806,1,4,5,5,5,5,5,5
11,2016-04-12,3.0799999237060547,3.140000104904175,2.8010001182556152,2.9700000286102295,2.9700000286102295,98800,0.0,0.9685335509213323,0.022791827419828437,0.24872800125615413,3.4247963761962428,2.820917879545422,3.1228571278708324,-0.10083333956889629,8.374680096300974,0.33899998664855957,24.93048779745374,,,,0.2200000286102295,-3.2526883866604495,0.08000001040371982,45.287993410508626,,50.33315371695568,28.051749249628102,50.83005447374734,-301789.24799394794,-11173.786510577309,-143600.0,0.0,253315.10747080378,0.0,0.0,0.0,0.0,0.0,253315.10747080378,253315.10747080378,253315.10747080378,253315.10747080378,253315.10747080378,0,25,25,25,25,25,25,25
12,2016-04-13,3.1500000953674316,3.319999933242798,3.049999952316284,3.2899999618530273,3.2899999618530273,97400,10.774408422902848,1.146298780047575,0.02378366313856617,0.2631954160242133,3.4698676118055616,2.8529894956293926,3.161428553717477,-0.055448727729992875,7.999860762185958,0.34999990463256836,0.8678402467547971,,,,0.440000057220459,-1.7888905903713603,0.15438599015573837,57.357684208997426,,54.84123461866296,44.354670447456385,40.8562499483916,-226033.67332565883,13086.053389936103,-46200.0,0.0,12716.0,0.0,0.0,0.0,0.0,0.0,12716.0,12716.0,12716.0,12716.0,12716.0,0,3,3,3,3,3,3,3
13,2016-04-14,3.3299999237060547,3.3299999237060547,3.244999885559082,3.3299999237060547,3.3299999237060547,45200,1.2158043257392004,1.2782922256592042,0.026795904918593294,0.23773893347032177,3.5016747795413448,2.8468965890848414,3.174285684313093,-0.0025000113707323024,7.1393074749904235,0.08500003814697266,2.177136071708323,,,,0.4700000286102295,-0.08077581210525514,0.1643356803670379,58.58749795942679,,54.19920609651958,66.55430816446328,46.32024262051592,-180833.67332565883,36202.710313788266,-1000.0,0.0,56632.64482482274,0.0,0.0,0.0,0.0,0.0,56632.64482482274,56632.64482482274,56632.64482482274,56632.64482482274,56632.64482482274,0,14,14,14,14,14,14,14
14,2016-04-15,3.390000104904175,3.4000000953674316,3.3499999046325684,3.369999885559082,3.369999885559082,64400,1.2012000831672864,1.2671702301109082,0.03097141036987594,0.2137762532119011,3.5419738766311535,2.838026033450982,3.189999955041068,0.04391024968562984,6.343509212803303,0.07000017166137695,11.701240052570801,-0.03867839504562598,-0.13804487585495545,0.09936648080932947,0.4499998092651367,1.4201598463668912,0.1541095196943539,59.834971451265716,,53.165413742722286,88.81362214515946,66.5742002523597,-193713.9189912256,38270.109042339434,63400.0,0.0,98794.40498053587,0.0,0.0,0.0,0.0,0.0,98794.40498053587,98794.40498053587,98794.40498053587,98794.40498053587,98794.40498053587,1,14,15,15,15,15,15,15
15,2016-04-18,3.390000104904175,3.4000000953674316,3.259999990463257,3.2699999809265137,3.2699999809265137,63800,-2.967356321318637,1.2822417380971816,0.02705304757721727,0.2032368034536545,3.5046704677403655,2.8467580410181794,3.1757142543792725,0.0850000029955158,6.215192802419218,0.1400001049041748,2.532909852855182,-0.024575995592166056,-0.11535109980239758,0.09077510421023152,0.25,2.755267543373107,0.08278145747646722,55.34634472152845,,48.63335793479906,87.70065710950412,81.02286247304228,-248399.64879846433,18236.757306958054,-400.0,0.0,12347.70249026793,0.0,0.0,0.0,0.0,0.0,12347.70249026793,12347.70249026793,12347.70249026793,12347.70249026793,12347.70249026793,0,4,4,4,4,4,4,4
16,2016-04-19,3.359999895095825,3.4000000953674316,3.359999895095825,3.390000104904175,3.390000104904175,28400,3.6697285834130344,1.2356161330430062,0.027934686723050106,0.19277441930897785,3.5614163061255644,2.8928693836370964,3.2271428448813304,0.12647436215327357,5.686560865591094,0.13000011444091797,2.532909852855185,-0.0036743793430358274,-0.09301575571052523,0.0893413763674894,0.15000009536743164,4.102724193908198,0.046296325594418354,59.29271087159359,,57.572528453485624,90.14387352471248,88.88605092645868,-234199.5641602925,12901.616953996912,28000.0,0.0,5343.0,0.0,0.0,0.0,0.0,0.0,5343.0,5343.0,5343.0,5343.0,5343.0,0,2,2,2,2,2,2,2
17,2016-04-20,3.25,3.4000000953674316,3.25,3.4000000953674316,3.4000000953674316,27900,0.29498496028923515,1.439687308674671,0.018983673461608674,0.18666380160304266,3.564133930274288,3.0130089214190017,3.2885714258466447,0.16006411344577076,5.490111657860711,0.15000009536743164,19.581007481005358,0.013541124129483162,-0.07170437974252356,0.08524550387200672,0.1400001049041748,5.195589237602297,0.04294481758089831,59.613030976270146,,65.09871524973153,91.81333434578522,89.88595499333394,-206299.5641602925,18423.457995603996,55900.0,0.0,9090.0,0.0,0.0,0.0,0.0,0.0,9090.0,9090.0,9090.0,9090.0,9090.0,0,3,3,3,3,3,3,3
18,2016-04-21,3.4000000953674316,3.4200000762939453,3.325000047683716,3.4100000858306885,3.4100000858306885,43900,0.29411735831661456,1.441441859530666,0.002640821215578626,0.17356897688978365,3.45420641915124,3.2486507346050377,3.351428576878139,0.16807693701524018,5.08999919416429,0.09500002861022949,15.302989639727144,0.027672459432605656,-0.05182901190749771,0.07950147134010337,0.040000200271606445,5.444804870269567,0.011869496032629812,59.95240077073276,,70.4000002095107,97.08683878133381,93.01468221727718,-171641.65782614017,30035.048801164085,99800.0,0.0,5345.0,0.0,0.0,0.0,0.0,0.0,5345.0,5345.0,5345.0,5345.0,5345.0,0,2,2,2,2,2,2,2
19,2016-04-22,3.680000066757202,3.680000066757202,3.3550000190734863,3.5,3.5,69500,2.6392936042225035,0.04057558701358504,0.004355105606396847,0.19520198700320252,3.513415030213796,3.249442134441617,3.3814285823277066,0.17846155319458434,5.577199628662929,0.3250000476837158,25.253586420981616,0.045608143100323684,-0.032341580905933434,0.07794972400625712,0.4700000286102295,5.763259733064445,0.1551155224581255,62.968402359554474,,60.39146555311624,84.08572705539916,90.9953000608394,-179126.2904671794,29673.31203572941,169300.0,0.0,14037.0,0.0,0.0,0.0,0.0,0.0,14037.0,14037.0,14037.0,14037.0,14037.0,0,5,5,5,5,5,5,5
20,2016-04-25,3.450000047683716,3.5,3.4000000953674316,3.5,3.5,44700,0.0,0.05687211331572186,0.005395919753096834,0.18160168952168337,3.552628156459438,3.258800458565674,3.405714307512556,0.1873718209755726,5.188619700619525,0.09999990463256836,25.253586420981616,0.059140565995540406,-0.014045151525638667,0.07318571752117907,0.5299999713897705,6.0472534479402995,0.17845116709907127,62.968402359554474,,60.57309414185568,70.1322356745991,83.76826717044402,-134426.2904671794,41050.48226480346,169300.0,0.0,367.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0,367.0,367.0,367.0,0,2,2,2,2,2,2,2
21,2016-04-26,3.299999952316284,3.450000047683716,3.0999999046325684,3.450000047683716,3.450000047683716,53700,-1.4285700661795464,0.19347541062750123,0.005363265099816772,0.2128014617853617,3.563611534918741,3.2706742692848376,3.4171429021017894,0.19929489875451134,6.168158227366802,0.40000009536743164,19.316747658884843,0.06508032487686988,0.0017799437548630427,0.06330038112200684,0.48000001907348633,6.3845088622241715,0.1616161664813504,60.05435600689836,,65.7532835102142,58.87462903249783,71.03086392083203,-80726.29046717941,59059.28078898798,115600.0,0.0,18716.512451339648,0.0,0.0,0.0,0.0,0.0,18716.512451339648,18716.512451339648,18716.512451339648,18716.512451339648,18716.512451339648,0,5,5,5,5,5,5,5
