,Date,Open,High,Low,Close,Adj Close,Volume,Return,Beta,Variance,AvgTrueRange,Upperband,Lowerband,Middleband,APO,NATR,TRANGE,DMI,MACD,MACDSIGNAL,MACDHIST,MOM,PPO,ROCP,RSI,TRIX,ULTOSC,SLOWK,SLOWD,AD,ADOSC,OBV,Upward_momentum_created,Downward_momentum_created,B5_O_Um,B5_C_Um,B5_E_Um,B5_A_Um,B5_N_Um,B5_O_Dm,B5_C_Dm,B5_E_Dm,B5_A_Dm,B5_N_Dm,Verified_status_True,Verified_status_False,O,C,E,A,N,Real_or_Fake_tweet
0,2020-12-10,574.3699951171875,627.75,566.3400268554688,627.0700073242188,627.0700073242188,67083200,3.737100910761515,0.7994982691398121,711.9086439235252,40.664306257699714,665.4246599580715,558.6981950921518,612.0614275251116,,6.484811230442846,61.40997314453125,5.161219533038517,,,,53.07000732421875,,0.09245645875299434,73.92669988640115,,,66.14231377211192,77.81449533839016,296943308.1531582,73103407.99075183,458017600.0,0.0,52545013.353343956,0.0,0.0,0.0,0.0,0.0,52545013.353343956,0.0,52545013.353343956,0.0,52545013.353343956,68,5130,5198,0,5198,0,5198,5198
1,2020-12-11,615.010009765625,624.0,596.7999877929688,609.989990234375,609.989990234375,46475000,-2.7237815380018238,0.5985369540501408,410.81324652337935,39.17940815392119,658.4799106042209,577.405796706047,617.942853655134,,6.42295919296436,30.27001953125,5.161219533038511,,,,24.22998046875,,0.041365030157051744,69.44519429340843,,,49.770799735359,63.40051023028846,295542211.70867884,70508756.78002232,411542600.0,0.0,35958838.28448638,0.0,0.0,0.0,0.0,0.0,35958838.28448638,0.0,35958838.28448638,0.0,35958838.28448638,52,3361,3413,0,3413,0,3413,3413
2,2020-12-14,619.0,642.75,610.2000122070312,639.8300170898438,639.8300170898438,52040600,4.89188795442419,0.42002599077603636,349.02543121331837,38.26235124130744,661.9430143460891,587.2141250233306,624.5785696847098,,5.980080680699717,32.760009765625,19.527794735327728,,,,72.23004150390625,,0.1272551878272064,72.57336692274399,,,67.39030596671161,61.101139824727504,338245931.85478824,76624968.89666578,463583200.0,0.0,40567630.69660003,0.0,0.0,0.0,0.0,0.0,40567630.69660003,0.0,40567630.69660003,0.0,40567630.69660003,51,3452,3503,0,3503,0,3503,3503
3,2020-12-15,643.280029296875,646.9000244140625,623.7999877929688,633.25,633.25,45071500,-1.0284008117924515,0.4131937954252918,242.7089552077814,36.09630629556263,660.6239540910719,598.3074772705352,629.4657156808036,,5.700166805457975,23.10003662109375,22.557113606281565,,,,48.489990234375,,0.08292289045861746,70.85082967848916,,,69.73174494819155,62.29761688342071,330051102.8467533,69553703.81485733,418511700.0,0.0,108562161.55349833,0.0,0.0,0.0,0.0,0.0,108562161.55349833,0.0,108562161.55349833,0.0,108562161.55349833,44,3494,3538,0,3538,0,3538,3538
4,2020-12-16,628.22998046875,632.5,605.0,622.77001953125,622.77001953125,42095800,-1.654951515001979,0.8307820325781456,220.1611803115229,34.975405396196535,656.4285186661808,597.0772011998905,626.7528599330357,70.25545247395837,5.616102943189529,28.25,2.2200252082577565,,,,53.95001220703125,12.906766667687048,0.09484548980760546,68.07926914270159,,,76.54295992120966,71.22167027870427,342358443.8055601,64253821.69420543,376415900.0,0.0,55249619.9124919,0.0,0.0,0.0,0.0,0.0,55249619.9124919,0.0,55249619.9124919,0.0,55249619.9124919,28,3420,3448,0,3448,0,3448,3448
5,2020-12-17,628.1900024414062,658.8200073242188,619.5,655.9000244140625,655.9000244140625,56270100,5.319781595740425,0.7048554291016693,264.3776274774573,35.59606281448542,660.1322494011612,595.0934760452675,627.6128627232143,66.73993937174475,5.4270561807471465,39.32000732421875,23.070592212469123,,,,62.52001953125,12.051831891203198,0.10536253162692459,71.830732375279,,,80.46346496441471,75.5793899446053,390271081.96696174,71489361.90582061,432686000.0,0.0,122308060.93675937,0.0,0.0,0.0,0.0,0.0,122308060.93675937,0.0,122308060.93675937,0.0,122308060.93675937,58,4514,4572,0,4572,0,4572,4572
6,2020-12-18,668.9000244140625,695.0,628.5399780273438,695.0,695.0,222126200,5.9612706404252425,0.5244415718076445,669.4265716976952,40.00519983708125,692.2908522968493,588.7977358727936,640.5442940848214,66.56763125688599,5.75614386145054,66.46002197265625,42.6745809769232,,,,95.96002197265625,11.79312082773941,0.16018967930764058,75.49158879515596,,,88.44634440735142,81.81758976432526,612397281.9669617,138626840.91004318,654812200.0,0.0,117522455.31081545,0.0,0.0,0.0,0.0,0.0,117522455.31081545,0.0,117522455.31081545,0.0,117522455.31081545,178,8654,8832,0,8832,0,8832,8832
7,2020-12-21,666.239990234375,668.5,646.0700073242188,649.8599853515625,649.8599853515625,58045300,-6.4949661364658295,0.08792643770170906,645.2877309223986,41.28017024260982,694.6050337591784,592.9949767039913,643.8000052315848,62.11660492725855,6.352163723433132,48.92999267578125,42.67458097692321,,,,8.0999755859375,10.828891657910935,0.012621502528485165,64.9906544474915,,66.9541273053297,81.71209951598605,83.5406362959174,573967718.3401716,141262144.72051525,596766900.0,0.0,85052525.89559306,0.0,0.0,0.0,0.0,0.0,85052525.89559306,0.0,85052525.89559306,0.0,85052525.89559306,115,5545,5660,0,5660,0,5660,5660
8,2020-12-22,648.0,649.8800048828125,614.22998046875,640.3400268554688,640.3400268554688,51716000,-1.464924554624425,0.4174496943564165,464.8970295112813,40.47586369567449,691.2586666481227,605.0127828496452,648.135724748884,56.641351553109985,6.320995408398905,35.6500244140625,9.308539967461618,,,,-9.53997802734375,9.723233686014048,-0.014679599242423246,63.000301713655475,,69.12817083703708,63.03704155815969,77.7318284938324,598005223.7657053,137146507.5765131,545050900.0,0.0,54388162.01021942,0.0,0.0,0.0,0.0,0.0,54388162.01021942,0.0,54388162.01021942,0.0,54388162.01021942,97,5260,5357,0,5357,0,5357,5357
9,2020-12-23,632.2000122070312,651.5,622.5700073242188,645.97998046875,645.97998046875,33173000,0.8807748035020602,0.38782654231263747,454.9340729035903,38.826453549975454,691.6726581393575,606.3559237523837,649.0142909458706,47.84340100410657,6.010473191723583,28.92999267578125,10.55026151790734,,,,41.5,8.085947564374608,0.06865405198004806,63.709387208451375,,68.46893891464156,42.80675486856108,62.518631980902285,618519001.2099077,129522084.51562089,578223900.0,0.0,37865282.00249086,0.0,0.0,0.0,0.0,0.0,37865282.00249086,0.0,37865282.00249086,0.0,37865282.00249086,58,3566,3624,0,3624,0,3624,3624
